customer,day,daily_amount,nr_trans
customer10,2019-12-28 00:00:00+00:00,309.0,7
customer10,2019-12-29 00:00:00+00:00,394.0,12
customer10,2019-12-30 00:00:00+00:00,150.0,6
customer10,2019-12-31 00:00:00+00:00,100.0,2
customer10,2020-01-02 00:00:00+00:00,349.0,11
customer10,2020-01-03 00:00:00+00:00,110.0,4
customer10,2020-01-04 00:00:00+00:00,179.0,6
customer10,2020-01-05 00:00:00+00:00,116.0,3
customer10,2020-01-07 00:00:00+00:00,30.0,2
customer10,2020-01-08 00:00:00+00:00,89.0,4
customer10,2020-01-09 00:00:00+00:00,20.0,1
customer10,2020-01-11 00:00:00+00:00,90.0,5
customer10,2020-01-12 00:00:00+00:00,160.0,6
customer10,2020-01-13 00:00:00+00:00,80.0,4
customer10,2020-01-15 00:00:00+00:00,228.0,10
customer10,2020-01-16 00:00:00+00:00,100.0,5
customer10,2020-01-17 00:00:00+00:00,181.0,8
customer10,2020-01-18 00:00:00+00:00,35.0,2
customer10,2020-01-19 00:00:00+00:00,130.0,3
customer10,2020-01-20 00:00:00+00:00,60.0,3
customer10,2020-01-22 00:00:00+00:00,100.0,4
customer10,2020-01-23 00:00:00+00:00,40.0,2
customer10,2020-01-24 00:00:00+00:00,140.0,5
customer10,2020-01-25 00:00:00+00:00,235.0,8
customer10,2020-01-26 00:00:00+00:00,350.0,8
customer10,2020-01-27 00:00:00+00:00,99.0,4
customer10,2020-01-29 00:00:00+00:00,94.0,3
customer10,2020-01-30 00:00:00+00:00,215.0,8
customer10,2020-01-31 00:00:00+00:00,485.0,11
customer10,2020-02-01 00:00:00+00:00,149.0,5
customer10,2020-02-02 00:00:00+00:00,180.0,8
customer10,2020-02-03 00:00:00+00:00,45.0,2
customer10,2020-02-04 00:00:00+00:00,335.0,12
customer10,2020-02-05 00:00:00+00:00,30.0,2
customer10,2020-02-06 00:00:00+00:00,364.0,9
customer10,2020-02-07 00:00:00+00:00,390.0,10
customer10,2020-02-08 00:00:00+00:00,20.0,1
customer10,2020-02-09 00:00:00+00:00,160.0,5
customer10,2020-02-10 00:00:00+00:00,415.0,13
