AccountIdentifier,month_x,month_y
customer1415,2020-01,2020-01
customer1416,2019-06,2019-06
customer1417,2019-12,2019-12
customer1418,2020-01,2020-02
customer1419,2019-03,2019-04
customer142,2019-06,2020-02
customer1420,2019-03,2019-03
customer1421,2019-03,2020-02
customer1422,2019-08,2019-08
customer1423,2019-07,2019-07
customer1424,2020-01,2020-01
customer1425,2019-07,2019-10
customer1426,2019-03,2019-09
customer1427,2020-02,2020-02
customer1428,2019-09,2019-10
customer1429,2019-04,2019-04
customer143,2019-03,2020-02
customer1431,2019-03,2019-05
customer1432,2019-03,2019-05
customer1433,2019-04,2019-06
customer1434,2019-03,2019-05
customer1435,2019-03,2020-02
customer1436,2019-06,2019-06
customer1437,2019-09,2019-09
customer1438,2019-11,2019-12
customer1439,2020-01,2020-01
customer144,2019-03,2019-11
customer1440,2019-08,2019-08
customer1441,2019-05,2019-05
customer1442,2019-04,2019-07
customer1443,2020-01,2020-02
customer1444,2019-05,2019-05
customer1445,2019-07,2019-07
customer1446,2019-09,2019-09
customer1447,2019-12,2019-12
customer1448,2020-02,2020-02
customer1449,2019-03,2020-02
customer145,2019-05,2020-02
customer1450,2019-06,2019-06
customer1451,2019-03,2019-03
customer1452,2019-04,2019-12
customer1453,2019-03,2019-06
customer1454,2019-05,2019-05
customer1455,2019-07,2019-07
customer1456,2019-04,2019-09
customer1457,2019-09,2019-09
customer1458,2020-01,2020-01
customer1459,2019-12,2019-12
customer146,2020-01,2020-02
customer1460,2019-03,2019-03
customer1461,2019-03,2019-03
customer1462,2019-04,2019-06
customer1463,2019-06,2019-06
customer1464,2020-01,2020-01
customer1465,2019-04,2019-08
customer1466,2020-02,2020-02
customer1467,2019-12,2019-12
customer1468,2019-04,2019-04
customer1469,2019-04,2019-08
customer147,2019-03,2020-02
customer1470,2019-11,2019-11
customer1471,2019-03,2019-05
customer1472,2019-03,2019-03
customer1473,2019-06,2019-06
customer1474,2019-05,2020-02
customer1475,2019-03,2019-03
customer1476,2019-10,2019-10
customer1477,2019-07,2019-07
customer1478,2019-07,2019-07
customer1479,2019-09,2019-09
customer148,2019-03,2019-10
