customer,sum,std,m_avg_spent,first_active_in_days,last_active_in_days,nr_purchases,group
customer1281,450.0,35.35533905932738,225.0,344.0,318.0,2.0,1
customer1282,50.0,0.001,50.0,39.0,39.0,1.0,0
customer1283,107.0,7.181324987175318,53.5,310.0,304.0,7.0,1
customer1284,650.0,103.0776406404415,325.0,160.0,72.0,4.0,1
customer1285,310.0,26.299556396765833,310.0,57.0,46.0,4.0,1
customer1286,20.0,0.001,20.0,361.0,361.0,1.0,0
customer1287,25.0,0.001,25.0,295.0,295.0,1.0,0
customer1288,10.0,0.001,10.0,126.0,126.0,1.0,0
customer1289,50.0,0.001,50.0,313.0,313.0,1.0,0
customer129,16261.0,7.408434065195909,1626.1,362.0,79.0,855.0,1
customer1291,25.0,0.001,25.0,87.0,87.0,1.0,0
customer1292,445.0,74.45916106609492,148.33333333333334,248.0,157.0,6.0,1
customer1293,500.0,0.001,500.0,199.0,199.0,1.0,0
customer1294,50.0,0.001,50.0,315.0,315.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1297,410.0,11.794175007289153,136.66666666666666,309.0,254.0,13.0,1
customer1298,1100.0,170.78251276599332,275.0,230.0,16.0,4.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer13,300.0,4.803844614152614,100.0,155.0,39.0,13.0,1
customer130,14326.51,74.50378230166542,1591.8344444444444,360.0,78.0,119.0,1
customer1300,115.0,12.583057392117915,57.5,49.0,7.0,3.0,1
customer1301,800.0,22.04792759220492,400.0,351.0,226.0,9.0,1
customer1302,210.0,26.457513110645905,210.0,4.0,3.0,3.0,1
customer1303,50.0,0.001,50.0,285.0,285.0,1.0,0
customer1304,500.0,0.001,500.0,104.0,104.0,1.0,0
customer1305,375.0,35.35533905932738,187.5,331.0,305.0,5.0,1
customer1306,130.0,13.333333333333332,14.444444444444445,337.0,42.0,9.0,1
customer1307,250.0,0.001,250.0,239.0,239.0,1.0,0
customer1308,155.0,8.539125638299666,51.666666666666664,266.0,182.0,4.0,1
customer1309,120.0,56.568542494923804,120.0,71.0,71.0,2.0,1
customer131,7848.48,11.828886848181785,713.4981818181818,366.0,52.0,284.0,1
customer1310,50.0,0.001,50.0,89.0,89.0,1.0,0
customer1311,638.0,20.806001679379747,319.0,254.0,225.0,17.0,1
customer1312,100.0,0.001,100.0,52.0,52.0,1.0,0
customer1313,50.0,0.001,50.0,278.0,278.0,1.0,0
customer1314,50.0,0.001,50.0,217.0,217.0,1.0,0
customer1315,177.0,12.86791876463841,177.0,350.0,349.0,4.0,1
customer1316,2949.0,113.89159518834326,983.0,364.0,285.0,12.0,1
customer1317,300.0,23.45207879911715,150.0,235.0,146.0,5.0,1
customer1318,395.0,13.006408676751114,197.5,298.0,258.0,10.0,1
customer1319,100.0,0.001,100.0,24.0,24.0,1.0,0
customer132,50.0,0.001,50.0,223.0,223.0,1.0,0
customer1320,100.0,15.275252316519467,100.0,11.0,11.0,3.0,1
customer1321,175.0,12.5,58.333333333333336,190.0,97.0,4.0,1
customer1322,100.0,0.001,100.0,323.0,323.0,1.0,0
customer1323,500.0,0.001,500.0,167.0,167.0,1.0,0
customer1324,110.0,4.08248290463863,55.0,351.0,327.0,6.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1326,100.0,14.433756729740644,100.0,129.0,125.0,3.0,1
customer1327,75.0,17.67766952966369,75.0,17.0,17.0,2.0,1
customer1328,25.0,0.001,25.0,173.0,173.0,1.0,0
customer1329,350.0,82.91561975888499,175.0,158.0,24.0,4.0,1
customer133,255.0,11.726039399558575,255.0,303.0,289.0,6.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1331,95.0,8.215838362577491,31.666666666666668,366.0,298.0,5.0,1
customer1332,500.0,0.001,500.0,146.0,146.0,1.0,0
customer1333,360.0,26.832815729997478,360.0,300.0,294.0,5.0,1
customer1334,150.0,35.35533905932738,150.0,352.0,351.0,2.0,1
customer1335,100.0,0.001,100.0,214.0,214.0,1.0,0
customer1336,3500.0,106.24442944398913,3500.0,361.0,360.0,12.0,1
customer1337,3600.0,600.0,1800.0,353.0,280.0,4.0,1
customer1338,50.0,0.001,50.0,235.0,235.0,1.0,0
customer1339,888.8,21.34359414412228,222.2,366.0,148.0,14.0,1
customer134,7717.0,13.472638018347446,1102.4285714285713,203.0,6.0,166.0,1
customer1340,100.0,0.001,100.0,133.0,133.0,1.0,0
customer1341,10.0,0.001,10.0,353.0,353.0,1.0,0
customer1342,50.0,7.0710678118654755,25.0,61.0,2.0,2.0,1
customer1343,4000.0,577.3502691896257,4000.0,344.0,342.0,3.0,1
customer1344,900.0,70.71067811865476,900.0,360.0,360.0,2.0,1
customer1345,75.0,17.67766952966369,75.0,26.0,26.0,2.0,1
customer1346,660.0,19.77899874131123,94.28571428571429,361.0,13.0,14.0,1
customer1347,280.0,10.327955589886445,70.0,256.0,117.0,16.0,1
customer1348,335.0,19.29437035180799,167.5,160.0,135.0,11.0,1
customer1349,10.0,0.001,10.0,215.0,215.0,1.0,0
customer135,2960.0,35.06415476658392,740.0,107.0,20.0,45.0,1
customer1350,510.0,11.965860528261985,127.5,148.0,53.0,12.0,1
customer1351,50.0,0.001,50.0,256.0,256.0,1.0,0
customer1352,1255.0,57.16051238244962,209.16666666666666,294.0,8.0,14.0,1
customer1353,15.0,0.001,15.0,356.0,356.0,1.0,0
customer1354,25.0,0.001,25.0,144.0,144.0,1.0,0
customer1355,50.0,0.001,50.0,357.0,357.0,1.0,0
customer1356,20.0,0.001,20.0,364.0,364.0,1.0,0
customer1357,350.0,27.386127875258307,175.0,96.0,65.0,5.0,1
customer1358,350.0,28.867513459481287,350.0,12.0,12.0,3.0,1
customer1359,50.0,0.001,50.0,323.0,323.0,1.0,0
customer136,2091.0,32.44963757854591,418.2,358.0,222.0,37.0,1
customer1360,50.0,0.001,50.0,274.0,274.0,1.0,0
customer1361,10.0,0.001,10.0,365.0,365.0,1.0,0
customer1363,70.0,8.660254037844387,23.333333333333332,362.0,235.0,4.0,1
customer1364,1297.96,63.559622307553006,216.32666666666668,366.0,36.0,12.0,1
customer1365,50.0,0.001,50.0,243.0,243.0,1.0,0
customer1366,20.0,0.001,20.0,190.0,190.0,1.0,0
customer1367,500.0,0.001,500.0,331.0,331.0,1.0,0
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
customer1369,75.0,6.2915286960589585,37.5,120.0,45.0,4.0,1
0.001,0.001,0.001,0.001,0.001,0.001,0.001,2
